lead_id,source,status,time_to_first_interaction,interactions_7d,time_to_conversion,response_rate,sentiment_avg,industry,company_size,converted
1,meta_ads,lead,0.9385361799537182,3,,0.2217302789017885,2.92,finance,1,0
2,organic,lead,0.7255074589209543,2,,0.22066786485145337,2.76,other,2,0
3,meta_ads,prospect,3.075872022061824,0,,0.5781595463813841,2.9,education,1,0
4,meta_ads,prospect,2.3055015261973235,1,,0.3248485136137946,2.28,tech,3,0
5,meta_ads,lead,1.582447595963595,0,,0.3579287927839609,3.38,healthcare,2,0
6,meta_ads,prospect,0.6331208864176514,2,,0.1948482069209669,3.11,other,10,0
7,manual,lead,2.958967552483023,0,,0.32643436842516804,2.66,education,6,0
8,referral,customer,1.9526023834247481,1,3.7248835041035373,0.16333955154591318,4.86,tech,2,1
9,organic,prospect,0.2547447872310038,4,,0.008386526136976524,3.59,finance,2,0
10,referral,lead,1.4208743542683802,2,,0.295064933747821,3.0,finance,5,0
11,meta_ads,lead,2.006988381041062,2,,0.20209676646387698,2.8,tech,1,0
12,referral,customer,1.1141153854972288,2,7.148761593385558,0.24863702801067097,3.21,education,9,1
13,referral,customer,0.7807676057629488,2,35.677981382917,0.0443858001226034,3.56,other,1,1
14,manual,prospect,0.6532518420207387,1,,0.5729344873173073,3.49,retail,4,0
15,meta_ads,prospect,2.8677752524789257,1,,0.6522422663601021,2.51,other,1,0
16,referral,prospect,1.787556809189167,1,,0.14304669760935637,2.28,other,4,0
17,meta_ads,lead,0.9779174019622036,1,,0.1744335165862888,4.31,healthcare,6,0
18,referral,churned,1.6202647213730161,1,,0.19417904129626962,4.69,healthcare,4,0
19,meta_ads,lead,4.5481946982145045,3,,0.38688633601837824,5.0,retail,4,0
20,referral,lead,0.507899734616049,1,,0.2649960881384083,4.77,finance,4,0
21,organic,prospect,1.6800886111745148,0,,0.12360821187031687,4.38,other,3,0
22,meta_ads,prospect,3.1676505053767996,2,,0.3233125679320439,4.48,healthcare,4,0
23,organic,lead,0.3898671404496454,4,,0.18971603556616148,3.05,retail,2,0
24,referral,churned,3.8094533049561594,1,,0.3635043204195636,3.89,other,1,0
25,organic,prospect,1.9090614310354355,1,,0.418456720793273,2.54,tech,2,0
26,organic,customer,3.3147490145194247,4,16.009499323084874,0.3714155244187612,4.15,finance,2,1
27,manual,lead,0.9418735774551127,0,,0.18709845575885203,4.19,healthcare,1,0
28,referral,lead,0.07612699856557877,2,,0.0915891723359977,4.18,retail,1,0
29,manual,customer,0.10613019182061881,2,12.949605629166843,0.2286631457906413,3.06,other,1,1
30,manual,lead,0.05135521908294876,4,,0.05392738711732938,1.89,healthcare,4,0
31,organic,customer,0.6568245227779919,4,2.846612922740635,0.5414781386117564,3.94,education,2,1
32,referral,customer,0.2059138368956265,2,5.688991313023238,0.24538751725998095,4.82,retail,2,1
33,manual,lead,1.966249989565457,3,,0.3571642994808134,3.61,healthcare,2,0
34,manual,lead,2.061654315689964,3,,0.4201712006743498,3.71,tech,6,0
35,meta_ads,lead,0.04709400636142302,2,,0.2734943311969834,2.87,healthcare,1,0
36,manual,prospect,2.7775127920108496,3,,0.3406139814808546,3.3,retail,2,0
37,manual,prospect,2.779569432990922,1,,0.1942088664773542,3.26,retail,1,0
38,referral,churned,4.715814593924907,0,,0.23013313946401617,4.57,tech,2,0
39,meta_ads,prospect,0.7969726691007795,4,,0.16482088642585274,3.19,education,1,0
40,referral,customer,0.30861530908423873,2,0.8785552166860509,0.44090845856884253,3.73,finance,10,1
41,meta_ads,lead,0.9376751651045792,4,,0.17585352090409176,4.36,healthcare,1,0
42,manual,lead,1.3570102187459085,0,,0.213840859794547,2.67,other,3,0
43,referral,churned,6.549440418204754,1,,0.1805385721768274,3.57,healthcare,10,0
44,meta_ads,customer,0.15332275190890987,3,11.899012381167742,0.297223908507894,5.0,finance,1,1
45,organic,lead,0.6596854517975169,4,,0.38920956160019465,1.59,healthcare,6,0
46,meta_ads,prospect,2.3086591672976313,0,,0.2522962817817854,4.98,retail,9,0
47,meta_ads,lead,4.02078476009384,0,,0.2781585655929336,3.8,finance,2,0
48,referral,lead,7.007417108751925,3,,0.11593716560848508,3.55,healthcare,9,0
49,meta_ads,lead,3.7895440294184914,1,,0.07071682230323385,2.67,retail,4,0
50,meta_ads,churned,1.4692208483720754,3,,0.23917309018869998,4.47,education,1,0
51,organic,lead,2.8141149053251713,2,,0.6558794913544471,3.23,retail,3,0
52,organic,lead,3.0617434754394033,2,,0.5975170557330933,3.44,education,10,0
53,manual,churned,1.3569825853347195,1,,0.2513723087391529,2.4,education,2,0
54,organic,customer,4.5419482502567154,2,2.1355098099509506,0.3970577778972392,2.71,retail,1,1
55,referral,prospect,0.25711242698670506,1,,0.5786652674307131,4.01,education,1,0
56,manual,lead,4.136269396976181,1,,0.38017746210604847,4.26,healthcare,1,0
57,meta_ads,lead,0.9255702200487395,2,,0.5373999584146651,4.08,education,3,0
58,organic,prospect,1.5190590047061379,0,,0.5142097363627265,3.7,tech,2,0
59,meta_ads,customer,0.04055072150062903,1,3.9674923023198265,0.41885427714394874,3.58,tech,3,1
60,organic,lead,2.7364332976168186,1,,0.08554250989555942,2.19,tech,2,0
