source,time_to_first_interaction,interactions_7d,response_rate,sentiment_avg,industry,company_size,converted
organic,0,0,1.0,3.0,tech,5,0
organic,0,0,0.5,5.0,tech,5,1
organic,0,0,0.5,3.0,tech,5,0
other,0,0,0.5,3.6666666666666665,tech,5,1
meta_ads,0,1,1.0,3.0,tech,5,1
organic,0,0,1.0,4.0,tech,5,0
meta_ads,0,0,1.0,3.2857142857142856,tech,5,0
manual,0,0,1.0,3.5714285714285716,tech,5,0
referral,0,0,1.0,3.6666666666666665,tech,5,0
meta_ads,0,0,1.0,3.5,tech,5,0
manual,0,2,1.0,3.75,tech,5,1
organic,0,0,0.3333333333333333,4.5,tech,5,0
meta_ads,0,0,1.0,2.3333333333333335,tech,5,0
organic,0,0,1.0,4.333333333333333,tech,5,0
organic,0,0,0.25,2.6,tech,5,0
meta_ads,0,0,0.4,3.5714285714285716,tech,5,0
other,0,0,1.0,5.0,tech,5,0
organic,0,2,0.6666666666666666,4.6,tech,5,0
other,0,0,0.5,1.0,tech,5,0
manual,0,0,0.3333333333333333,3.25,tech,5,0
manual,0,0,0.0,1.0,tech,5,0
organic,0,0,1.0,1.8,tech,5,0
other,0,0,0.0,5.0,tech,5,0
organic,0,0,1.0,4.0,tech,5,0
organic,0,0,0.5,3.6666666666666665,tech,5,0
organic,0,0,1.0,3.0,tech,5,1
meta_ads,0,1,1.0,4.0,tech,5,0
other,0,0,0.0,2.0,tech,5,1
meta_ads,0,0,0.0,3.0,tech,5,0
referral,0,0,0.14285714285714285,4.0,tech,5,0
organic,0,0,1.0,2.5,tech,5,0
referral,0,0,0.3333333333333333,2.5,tech,5,0
other,0,0,0.0,5.0,tech,5,1
referral,0,0,0.6666666666666666,2.6,tech,5,1
meta_ads,0,0,0.5,3.0,tech,5,0
manual,0,0,1.0,2.4285714285714284,tech,5,0
manual,0,0,0.0,3.0,tech,5,0
manual,0,0,0.0,3.0,tech,5,0
organic,0,0,1.0,4.0,tech,5,0
meta_ads,0,0,1.0,2.3333333333333335,tech,5,0
manual,0,0,0.3333333333333333,3.0,tech,5,0
other,0,0,1.0,3.0,tech,5,0
other,0,0,1.0,2.0,tech,5,0
manual,0,0,0.25,2.6,tech,5,0
manual,0,0,1.0,4.333333333333333,tech,5,0
other,0,1,0.6,4.0,tech,5,0
manual,0,0,0.6,3.0,tech,5,0
referral,0,0,0.5,4.333333333333333,tech,5,0
meta_ads,0,0,0.5,4.0,tech,5,0
manual,0,0,1.0,3.5,tech,5,0
manual,0,0,1.0,3.8,tech,5,0
meta_ads,30,0,0.1,3.0,tech,5,0
referral,30,0,0.1,3.0,tech,5,1
organic,30,0,0.1,3.0,tech,5,0
meta_ads,30,0,0.1,3.0,tech,5,0
